Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
1,US-2014-000001,22-05-2014,29-05-2014,Second Class,C-0021,Customer_21,Consumer,United States,Nevada,West,Technology,Copiers,2806.67,3,0.3,-318.52
2,US-2017-000002,31-12-2017,03-01-2018,Same Day,C-0109,Customer_109,Consumer,United States,North Carolina,East,Technology,Accessories,14489.86,11,0,4082.63
3,US-2017-000003,19-04-2017,24-04-2017,Second Class,C-0017,Customer_17,Consumer,United States,Washington,West,Furniture,Chairs,2073.7,10,0,276.03
4,US-2015-000004,25-07-2015,31-07-2015,Same Day,C-0085,Customer_85,Home Office,United States,California,West,Technology,Accessories,3965.44,4,0.1,786.1
5,US-2014-000005,13-07-2014,14-07-2014,Same Day,C-0122,Customer_122,Home Office,United States,Pennsylvania,East,Furniture,Tables,2171.52,6,0,310.33
6,US-2015-000006,26-11-2015,03-12-2015,Standard Class,C-0026,Customer_26,Consumer,United States,Missouri,Central,Technology,Copiers,1355.52,4,0.2,5.45
7,US-2017-000007,01-02-2017,02-02-2017,Standard Class,C-0064,Customer_64,Corporate,United States,Arizona,West,Technology,Copiers,17587.68,11,0.2,1528.36
8,US-2016-000008,21-09-2016,25-09-2016,Second Class,C-0061,Customer_61,Corporate,United States,Arkansas,South,Technology,Copiers,11648.42,14,0,3120.58
9,US-2017-000009,27-11-2017,03-12-2017,Same Day,C-0117,Customer_117,Corporate,United States,Alabama,South,Furniture,Furnishings,552.96,3,0,41.94
10,US-2014-000010,13-04-2014,18-04-2014,Same Day,C-0192,Customer_192,Consumer,United States,Texas,Central,Furniture,Chairs,5318.86,9,0.2,-873.95
11,US-2017-000011,14-10-2017,21-10-2017,Second Class,C-0048,Customer_48,Consumer,United States,Massachusetts,East,Technology,Phones,1390.52,7,0.3,-146.53
12,US-2015-000012,19-06-2015,21-06-2015,First Class,C-0021,Customer_21,Consumer,United States,North Carolina,East,Furniture,Bookcases,967.48,4,0,130.17
13,US-2017-000013,26-06-2017,01-07-2017,Standard Class,C-0019,Customer_19,Consumer,United States,Massachusetts,East,Technology,Copiers,2196.78,2,0,534.36
14,US-2014-000014,20-11-2014,24-11-2014,First Class,C-0063,Customer_63,Home Office,United States,New York,East,Furniture,Bookcases,6301.84,10,0.2,-737.98
15,US-2014-000015,03-10-2014,06-10-2014,Standard Class,C-0077,Customer_77,Corporate,United States,Wisconsin,Central,Office Supplies,Binders,299.54,2,0,89.32
16,US-2016-000016,01-11-2016,05-11-2016,First Class,C-0053,Customer_53,Consumer,United States,Oregon,West,Office Supplies,Labels,187.87,14,0.1,43.76
17,US-2014-000017,27-11-2014,03-12-2014,Same Day,C-0198,Customer_198,Corporate,United States,Oregon,West,Technology,Machines,12834.45,9,0,3095.51
18,US-2016-000018,27-01-2016,01-02-2016,Second Class,C-0039,Customer_39,Corporate,United States,Mississippi,South,Office Supplies,Storage,208.95,7,0,75.2
19,US-2017-000019,28-10-2017,30-10-2017,Standard Class,C-0011,Customer_11,Home Office,United States,Minnesota,Central,Furniture,Tables,2278.4,6,0.4,-841.55
20,US-2016-000020,24-04-2016,25-04-2016,Second Class,C-0061,Customer_61,Corporate,United States,Illinois,Central,Technology,Accessories,15563.1,12,0.3,-1382.45
21,US-2017-000021,07-12-2017,08-12-2017,Same Day,C-0064,Customer_64,Corporate,United States,Missouri,Central,Furniture,Tables,874.82,14,0.1,-26.28
22,US-2014-000022,18-02-2014,24-02-2014,Second Class,C-0079,Customer_79,Home Office,United States,Alabama,South,Technology,Accessories,3381.54,7,0.3,-112.64
23,US-2014-000023,26-02-2014,27-02-2014,First Class,C-0131,Customer_131,Corporate,United States,Colorado,West,Furniture,Bookcases,866.25,3,0.4,-351.85
24,US-2017-000024,26-05-2017,31-05-2017,Standard Class,C-0187,Customer_187,Consumer,United States,Ohio,East,Furniture,Furnishings,5065.34,7,0,377.06
25,US-2016-000025,16-01-2016,20-01-2016,Standard Class,C-0138,Customer_138,Consumer,United States,North Carolina,East,Office Supplies,Art,1827.05,11,0.1,395.26
26,US-2015-000026,31-10-2015,04-11-2015,First Class,C-0130,Customer_130,Home Office,United States,Oregon,West,Furniture,Furnishings,1230.66,9,0,201.87
27,US-2016-000027,11-04-2016,16-04-2016,Standard Class,C-0158,Customer_158,Home Office,United States,Illinois,Central,Office Supplies,Labels,274.28,5,0.1,57.05
28,US-2016-000028,12-11-2016,16-11-2016,Second Class,C-0114,Customer_114,Consumer,United States,Indiana,Central,Furniture,Tables,919.07,11,0.2,-98.07
29,US-2015-000029,06-04-2015,13-04-2015,Second Class,C-0193,Customer_193,Home Office,United States,Massachusetts,East,Technology,Machines,292.89,3,0,81.28
30,US-2017-000030,27-11-2017,01-12-2017,Same Day,C-0117,Customer_117,Corporate,United States,Florida,South,Furniture,Tables,1262.41,7,0.2,-213.91
31,US-2014-000031,27-12-2014,03-01-2015,Same Day,C-0028,Customer_28,Home Office,United States,Minnesota,Central,Furniture,Tables,278.18,1,0.4,-110.68
32,US-2017-000032,04-05-2017,07-05-2017,Same Day,C-0171,Customer_171,Consumer,United States,Arizona,West,Office Supplies,Appliances,1311.44,10,0.2,95.31
33,US-2016-000033,10-07-2016,13-07-2016,Second Class,C-0041,Customer_41,Corporate,United States,Tennessee,South,Office Supplies,Envelopes,1267.53,14,0.3,-48
34,US-2015-000034,26-04-2015,29-04-2015,First Class,C-0113,Customer_113,Consumer,United States,Michigan,Central,Technology,Machines,10748.4,6,0,2634.25
35,US-2016-000035,29-04-2016,03-05-2016,First Class,C-0181,Customer_181,Home Office,United States,Pennsylvania,East,Technology,Phones,8626.95,9,0,2702.73
36,US-2017-000036,25-03-2017,29-03-2017,Same Day,C-0150,Customer_150,Home Office,United States,Massachusetts,East,Office Supplies,Storage,188.83,1,0,58.35
37,US-2017-000037,20-05-2017,22-05-2017,Same Day,C-0108,Customer_108,Consumer,United States,Arkansas,South,Office Supplies,Appliances,209.59,4,0.1,39.59
38,US-2016-000038,15-08-2016,17-08-2016,Standard Class,C-0104,Customer_104,Consumer,United States,Minnesota,Central,Office Supplies,Paper,674.35,7,0.2,25.89
39,US-2015-000039,17-06-2015,21-06-2015,First Class,C-0119,Customer_119,Home Office,United States,Massachusetts,East,Technology,Phones,3746.64,4,0,1191.3
40,US-2016-000040,21-08-2016,22-08-2016,Standard Class,C-0108,Customer_108,Consumer,United States,Utah,West,Furniture,Chairs,1262.46,6,0,209.23
41,US-2017-000041,26-06-2017,28-06-2017,Second Class,C-0064,Customer_64,Corporate,United States,California,West,Technology,Phones,2920.32,3,0,948.45
42,US-2017-000042,25-05-2017,30-05-2017,Standard Class,C-0197,Customer_197,Consumer,United States,Ohio,East,Furniture,Tables,5168.83,13,0.4,-2063.35
43,US-2016-000043,23-03-2016,29-03-2016,Second Class,C-0148,Customer_148,Home Office,United States,Oregon,West,Office Supplies,Supplies,192.74,2,0.2,10.46
44,US-2017-000044,05-03-2017,12-03-2017,Standard Class,C-0176,Customer_176,Corporate,United States,Michigan,Central,Office Supplies,Binders,522.67,6,0.2,19.28
45,US-2016-000045,06-06-2016,09-06-2016,Same Day,C-0108,Customer_108,Consumer,United States,Texas,Central,Furniture,Chairs,1875.24,12,0,229.11
